run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,2,2,3,20,0.001,0.25,3,1001,0.3509,92.65,2.1931,43.6
20251015-122621,controller_v2,2,2,4,20,0.001,0.25,3,1001,0.2026,97.2,2.3963,40.56
20251015-122621,controller_v2,2,2,5,20,0.001,0.25,3,1001,0.107,98.72,2.2752,43.92
20251015-122621,controller_v2,2,2,6,20,0.001,0.25,3,1001,0.068,99.28,2.1243,47.08
20251015-122621,controller_v2,2,3,1,20,0.001,0.25,3,1001,1.2458,65.87,2.0409,48.52
20251015-122621,controller_v2,2,3,2,20,0.001,0.25,3,1001,0.543,85.85,2.2401,42.6
20251015-122621,controller_v2,2,3,3,20,0.001,0.25,3,1001,0.2938,94.48,2.3578,43.04
20251015-122621,controller_v2,2,3,4,20,0.001,0.25,3,1001,0.1684,97.92,2.3245,42.14
20251015-122621,controller_v2,2,3,5,20,0.001,0.25,3,1001,0.0764,99.12,2.3531,43.22
20251015-122621,controller_v2,2,3,6,20,0.001,0.25,3,1001,0.053,99.52,2.1448,47.72
20251015-122621,controller_v2,3,0,1,20,0.001,0.3,4,1001,1.0368,71.34,1.5849,56.5
20251015-122621,controller_v2,3,0,2,20,0.001,0.3,4,1001,0.4144,89.45,2.0923,45.56
20251015-122621,controller_v2,3,0,3,20,0.001,0.3,4,1001,0.211,96.3,2.1056,47.02
20251015-122621,controller_v2,3,0,4,20,0.001,0.3,4,1001,0.1182,98.38,2.1293,46.52
20251015-122621,controller_v2,3,0,5,20,0.001,0.3,4,1001,0.0712,99.0,2.0365,47.88
20251015-122621,controller_v2,3,0,6,20,0.001,0.3,4,1001,0.0434,99.46,1.9265,50.92
20251015-122621,controller_v2,3,1,1,20,0.001,0.3,4,1001,1.0521,73.27,1.777,53.2
20251015-122621,controller_v2,3,1,2,20,0.001,0.3,4,1001,0.4286,88.83,2.3896,44.24
20251015-122621,controller_v2,3,1,3,20,0.001,0.3,4,1001,0.2189,95.22,2.2984,44.9
20251015-122621,controller_v2,3,1,4,20,0.001,0.3,4,1001,0.1181,98.54,2.1923,45.94
20251015-122621,controller_v2,3,1,5,20,0.001,0.3,4,1001,0.0671,99.46,2.2835,43.1
20251015-122621,controller_v2,3,1,6,20,0.001,0.3,4,1001,0.0453,99.31,2.2146,45.58
20251015-122621,controller_v2,3,2,1,20,0.001,0.3,4,1001,0.9152,74.11,1.6253,56.22
20251015-122621,controller_v2,3,2,2,20,0.001,0.3,4,1001,0.4077,89.45,2.1158,46.84
20251015-122621,controller_v2,3,2,3,20,0.001,0.3,4,1001,0.2078,96.22,2.1196,47.04
20251015-122621,controller_v2,3,2,4,20,0.001,0.3,4,1001,0.1093,98.69,2.4202,43.68
20251015-122621,controller_v2,3,2,5,20,0.001,0.3,4,1001,0.0657,99.61,2.1326,48.18
20251015-122621,controller_v2,3,2,6,20,0.001,0.3,4,1001,0.0417,99.69,1.8649,53.18
20251015-122621,controller_v2,3,3,1,20,0.001,0.3,4,1001,0.9452,73.04,1.6165,55.98
20251015-122621,controller_v2,3,3,2,20,0.001,0.3,4,1001,0.3918,89.29,1.8438,52.9
